username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
comunica2;2017-02-16 10:32;3;5;"Con las "stories" de Instagram, @eldadodelarte pone "voz" a la @CasaBatlloGaudi . #comunica2017";;@eldadodelarte @CasaBatlloGaudi;#comunica2017;"832160780866961409";https://twitter.com/comunica2/status/832160780866961409
chernandez;2017-02-16 10:32;1;0;"Como Teleco, intento comprender las formas en que los usuarios conciben los canales de comunicación actuales y los terminales @comunica2 pic.twitter.com/2pQUErY1SY";;@comunica2;;"832160611119329281";https://twitter.com/chernandez/status/832160611119329281
comunica2;2017-02-16 10:31;1;1;"¡Muchas gracias! @NuevasAudiencia";;@NuevasAudiencia;;"832160436330041344";https://twitter.com/comunica2/status/832160436330041344
comunica2;2017-02-16 10:31;1;5;"Capturando Pokemons en la @CasaBatlloGaudi para atraer al público joven a un Patrimonio Mundial @eldadodelarte #comunica2017";;@CasaBatlloGaudi @eldadodelarte;#comunica2017;"832160404969291776";https://twitter.com/comunica2/status/832160404969291776
afustermarco;2017-02-16 10:30;0;2;"@comunica2 @eldadodelarte #comunica2017 Nos habla de como comunica y crear contenidos desde la Casa Batllo de Barcelona. @casabatllo pic.twitter.com/GLyoD8xWUh";;@comunica2 @eldadodelarte @casabatllo;#comunica2017;"832160164883083264";https://twitter.com/afustermarco/status/832160164883083264
ebullido;2017-02-16 10:30;4;3;"Ya está en marcha el congreso sobre redes sociales @comunica2 . Hoy y mañana Directo en http:// comunica2.webs.upv.es / #periodismo #comunica2017";;@comunica2;#periodismo #comunica2017;"832160135795589121";https://twitter.com/ebullido/status/832160135795589121
paulatraver;2017-02-16 10:30;0;1;"Hablemos de Instagram por Manel Subirats, modera @ejota_seventywight @daphunkt #Comunica2 @Comunica2 http:// buff.ly/2lcyLos";;@ejota_seventywight @daphunkt @Comunica2;#Comunica2;"832160118749986816";https://twitter.com/paulatraver/status/832160118749986816
tele7safor;2017-02-16 10:29;8;16;"¿Se puede evangelizar a través de las redes sociales? 22.20h #ElAbierto con la monja @xiskya y el sacerdote @smdani de @comunica2 pic.twitter.com/tJXOm5JtlV";;@xiskya @smdani @comunica2;#ElAbierto;"832160059098558464";https://twitter.com/tele7safor/status/832160059098558464
chernandez;2017-02-16 10:29;1;3;"Buen consejo !!! @comunica2 #Comunica2017 pic.twitter.com/PEKetgBSog";;@comunica2;#Comunica2017;"832159940894715904";https://twitter.com/chernandez/status/832159940894715904
comunica2;2017-02-16 10:28;3;1;""El carácter efímero de Snapchat (o ahora Instagram Stories) se transforma en adicción diaria" @eldadodelarte en #comunica2017";;@eldadodelarte;#comunica2017;"832159833335984128";https://twitter.com/comunica2/status/832159833335984128
comunica2;2017-02-16 10:28;2;2;". @eldadodelarte : "Snapchat creó una narrativa sin precedentes, jugó con lo efímero y huye de filtros; eso engancha". #comunica2017";;@eldadodelarte;#comunica2017;"832159769838366720";https://twitter.com/comunica2/status/832159769838366720
comunica2;2017-02-16 10:28;0;1;"Por supuesto ;) @beatriz_ia @cesartuit";;@beatriz_ia @cesartuit;;"832159689467187201";https://twitter.com/comunica2/status/832159689467187201
radiogandia;2017-02-16 10:28;1;3;"¿Se puede evangelizar a través de las redes sociales? 12.20h #HoyporHoyGandia con la monja @xiskya y el sacerdote @smdani de @comunica2 pic.twitter.com/55cBTc1MnX";;@xiskya @smdani @comunica2;#HoyporHoyGandia;"832159653635186688";https://twitter.com/radiogandia/status/832159653635186688
comunica2;2017-02-16 10:27;2;2;". @eldadodelarte : "Pasamos del 'boom' del microformato (Twitter) al 'boom' del relato visual (Instragam Stories y Snapchat)" #comunica2017";;@eldadodelarte;#comunica2017;"832159565001142276";https://twitter.com/comunica2/status/832159565001142276
wikiproyectos;2017-02-16 10:27;0;1;"El equipo de http://www. PacientesSemergen.es también sigue #comunica2017 Enhorabuena a @comunica2 os superáis todos los años! Gracias por compartir! pic.twitter.com/J5O7quGvMd";;@comunica2;#comunica2017;"832159388899094528";https://twitter.com/wikiproyectos/status/832159388899094528
AndreuSobrio;2017-02-16 10:27;0;2;"A mi no me gusta hacer fotones, me gusta hacer electrones #comunica2";;;#comunica2;"832159350085001216";https://twitter.com/AndreuSobrio/status/832159350085001216
beatriz_ia;2017-02-16 10:26;0;0;"Ay, no he podido escuchar a @cesartuit , supongo que luego lo colgarán en la web de @comunica2 ? : )";;@cesartuit @comunica2;;"832159129770786817";https://twitter.com/beatriz_ia/status/832159129770786817
MargaTwita;2017-02-16 10:25;10;6;"Chuleta para @comunica2 Streaming: http:// comunica2gandia.com Hashtag: #comunica2017 Ahora sí!!!";;@comunica2;#comunica2017;"832158955690455040";https://twitter.com/MargaTwita/status/832158955690455040
comunica2;2017-02-16 10:25;1;5;"Tiempo ahora de Pilar Delgado, de @eldadodelarte y comunica en la @CasaBatlloGaudi de Gaudí, Patrimonio Mundial de la Unesco. #comunica2017";;@eldadodelarte @CasaBatlloGaudi;#comunica2017;"832158909200736256";https://twitter.com/comunica2/status/832158909200736256
comunica2;2017-02-16 10:24;0;1;"Recuerda que nos puedes envíar preguntas con el hashtag #comunica2017 y al final de la mesa redonda los ponentes te responderán.";;;#comunica2017;"832158585874477056";https://twitter.com/comunica2/status/832158585874477056
BegoDelPrado;2017-02-16 10:23;0;1;"siiiiiiii que ya sé que viene @cristinabosca Estaré todo el día :)";;@cristinabosca;;"832158569298550784";https://twitter.com/BegoDelPrado/status/832158569298550784
comunica2;2017-02-16 10:23;1;2;"Los 360 grados, el último reto para que el usuario empatice, explica @cesartuit en #comunica2017 . Hay que aprender a sacarle partido.";;@cesartuit;#comunica2017;"832158524767629312";https://twitter.com/comunica2/status/832158524767629312
afustermarco;2017-02-16 10:23;0;2;"@comunica2 @cesartuit de @lab_rtvees en #comunica2017 . Interesantes narrativas. 'Las historias eligen como quieren ser contadas'. pic.twitter.com/CpUe10Jtjy";;@comunica2 @cesartuit @lab_rtvees;#comunica2017;"832158452353007616";https://twitter.com/afustermarco/status/832158452353007616
mrebollo;2017-02-16 10:22;0;1;"no me acordaba de lo del punto al principio del tuit ¡aprended, niños y niñas! #comunica2017";;;#comunica2017;"832158309134266368";https://twitter.com/mrebollo/status/832158309134266368
saraycerro;2017-02-16 10:22;3;1;"¡Un honor que una periodista tan formada como @julia_otero hable del #Comunica2017 en su programa y ponga nuestro spot! ¡Gracias! @comunica2 https:// twitter.com/OndaCero_es/st atus/831880783581290497 …";;@julia_otero @comunica2;#Comunica2017;"832158231820693504";https://twitter.com/saraycerro/status/832158231820693504
pilarsanchezupv;2017-02-16 10:22;1;1;"Laboratorio de innovación audiovisual @lab_rtvees en @comunica2 @campusgandiaupv #comunica2017 pic.twitter.com/wANsiMBrwO";;@lab_rtvees @comunica2 @campusgandiaupv;#comunica2017;"832158093412806656";https://twitter.com/pilarsanchezupv/status/832158093412806656
UniversidadMH;2017-02-16 10:21;5;11;"Nuestro profesor de @PeriodismoUMH @mcarvajal_ modera la sesión de #nuevasnarrativas en el @comunica2 #Comunica2017 pic.twitter.com/tXOMYbH82P";;@PeriodismoUMH @mcarvajal_ @comunica2;#nuevasnarrativas #Comunica2017;"832158009690378240";https://twitter.com/UniversidadMH/status/832158009690378240
comunica2;2017-02-16 10:21;2;3;"Un ejemplo del trabajo de @lab_rtvees que explica @cesartuit en #comunica2017 https:// twitter.com/lab_rtvees/sta tus/828332390003011584 …";;@lab_rtvees @cesartuit;#comunica2017;"832157849694437380";https://twitter.com/comunica2/status/832157849694437380
comunica2;2017-02-16 10:20;9;11;". @cesartuit nos presenta el documental transmedia "Guerra a la mentira" de @lab_rtvees #comunica2017 http:// lab.rtve.es/webdocs/guerra -mentira/es/ … pic.twitter.com/p673NQt5bD";;@cesartuit @lab_rtvees;#comunica2017;"832157801694781442";https://twitter.com/comunica2/status/832157801694781442
AlexvonKarma;2017-02-16 10:20;4;7;"A las 12:00 toca hablar sobre el uso del español en las redes sociales («Comunicando, que es gerundio»). ¡Nos vemos en el @comunica2 !";;@comunica2;;"832157598157832193";https://twitter.com/AlexvonKarma/status/832157598157832193
dcaraban;2017-02-16 10:19;1;1;"¡Sin duda es uno de los mejores Momentos! @paulatraver @socialbiblio @comunica2 https:// twitter.com/socialbiblio/m oments … pic.twitter.com/Dck6r2cu62";;@paulatraver @socialbiblio @comunica2;;"832157531296366592";https://twitter.com/dcaraban/status/832157531296366592
comunica2;2017-02-16 10:18;0;4;". @cesartuit matiza la importancia de la interacción: la narración ya no es lineal. #comunica2017";;@cesartuit;#comunica2017;"832157102751809537";https://twitter.com/comunica2/status/832157102751809537
GANAMOSRECICLAN;2017-02-16 10:17;0;0;"Una pena no haberme enterado antes!";;;;"832157031024967680";https://twitter.com/GANAMOSRECICLAN/status/832157031024967680
radiogandia;2017-02-16 10:17;6;8;"Desde #Gandia en directo @antoniofraguas en #HoyporHoy @La_SER Visita nuestra ciudad para participar en congreso redes sociales @comunica2 pic.twitter.com/vXaLu5t3LD";;@antoniofraguas @La_SER @comunica2;#Gandia #HoyporHoy;"832156837692710912";https://twitter.com/radiogandia/status/832156837692710912
comunica2;2017-02-16 10:15;2;4;". @cesartuit de @lab_rtvees en #comunica2017 : "Por primera vez es la historia la que elige el formato". Además, plantean "retos" al usuario.";;@cesartuit @lab_rtvees;#comunica2017;"832156363119812612";https://twitter.com/comunica2/status/832156363119812612
MargaTwita;2017-02-16 10:14;9;23;"Muchas gracias a los asistentes al @comunica2 . Ver la sala llena es lo que más ilusión nos puede hacer a @rebeca10ten , @sgalberto y a mi :-) pic.twitter.com/U0rbLHoV7C";;@comunica2 @rebeca10ten @sgalberto;;"832156133846614016";https://twitter.com/MargaTwita/status/832156133846614016
comunica2;2017-02-16 10:13;1;0;". @cesartuit cuenta a qué se dedican en @lab_rtvees : "Por primera vez el formato no define cómo tenemos que contar las historias"";;@cesartuit @lab_rtvees;;"832156024417173505";https://twitter.com/comunica2/status/832156024417173505
lostresanillos;2017-02-16 10:13;3;3;"@cesartuit : "Durante el @comunica2 vais a ver a gente apasionada en lo que hace". #comunica2017";;@cesartuit @comunica2;#comunica2017;"832155869282521089";https://twitter.com/lostresanillos/status/832155869282521089
javmallo;2017-02-16 10:13;0;3;"Trabajando y escuchando @comunica2 http:// comunica2.webs.upv.es /";;@comunica2;;"832155850332573697";https://twitter.com/javmallo/status/832155850332573697
comunica2;2017-02-16 10:12;0;2;". @andoci @belenbbb ¡Gracias por seguirnos! Fue un placer contar con vosotras ;) pic.twitter.com/IVPOtOhsyg";;@andoci @belenbbb;;"832155694153474050";https://twitter.com/comunica2/status/832155694153474050
PoliciaLocalCT;2017-02-16 10:12;0;4;"@PoliciaLocalCT en #comunica2017 @borjateran @DianaMorantR @comunica2 en #Gandia pic.twitter.com/Af91ZW82ZR";;@PoliciaLocalCT @borjateran @DianaMorantR @comunica2;#comunica2017 #Gandia;"832155624918089728";https://twitter.com/PoliciaLocalCT/status/832155624918089728
arslua;2017-02-16 10:11;2;1;"El arte de encadenar tweets para explicar el arte en twitter. Nuevas narrativas @miqueldelpozo #Comunica2017 @Comunica2";;@miqueldelpozo @Comunica2;#Comunica2017;"832155438862987264";https://twitter.com/arslua/status/832155438862987264
