username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
h_rabunal;2019-03-31 22:55;0;0;"#SalvadosPapa O Papa é humano. O recado que envía (taméná Conferencia Episcopal) é notábel en fiscalidade e no referido aos medios da igrexa. En materia de feminismo ou homosexualidade resulta preocupante que manexe información tan mala, confusa e retrógrada. O Papa é humano.";;;#SalvadosPapa;"1112458489513865216";https://twitter.com/h_rabunal/status/1112458489513865216
bygemaperez;2019-03-31 22:55;2;4;"El papa ha matizado que "raro" se refiere a familias que no saben cómo afrontar el tema sobre la homosexualidad Tan difícil es entenderlo? #SalvadosPapa";;;#SalvadosPapa;"1112458482693881856";https://twitter.com/bygemaperez/status/1112458482693881856
alexmaciu24;2019-03-31 22:55;2;8;""Quien levanta un muro queda prisionero del muro que levantó" #SalvadosPapa";;;#SalvadosPapa;"1112458479833354244";https://twitter.com/alexmaciu24/status/1112458479833354244
mgsanemeterio;2019-03-31 22:55;2;18;"Agradezco mucho dos asuntos señalados por Francisco, sin más interés aparente para Evolé: la muerte demográfica de Europa y la condena del chismorreo (no juzgar a los demás). #SalvadosPapa";;;#SalvadosPapa;"1112458479409745920";https://twitter.com/mgsanemeterio/status/1112458479409745920
Alex24Solis;2019-03-31 22:55;0;2;"Yo también lo creo #SalvadosPapa pic.twitter.com/lloy6nMhtO";;;#SalvadosPapa;"1112458473575469056";https://twitter.com/Alex24Solis/status/1112458473575469056
carmela_garcs;2019-03-31 22:55;0;1;"Francisco #SalvadosPapa https://www. atresplayer.com/lasexta/progra mas/salvados/temporada-14/francisco_5c9f49237ed1a885b9056c1f/ …";;;#SalvadosPapa;"1112458451735793665";https://twitter.com/carmela_garcs/status/1112458451735793665
Blanca_0998;2019-03-31 22:55;0;3;"Te podrá gustar más o menos pero lo que es innegable es que @jordievole es un PERIODISTA con todas las letras y junto con el equipo de @salvadostv están haciendo una labor muy importante que es informar y HACER PENSAR. #SalvadosPapa";;@jordievole @salvadostv;#SalvadosPapa;"1112458449215016964";https://twitter.com/Blanca_0998/status/1112458449215016964
casasola89;2019-03-31 22:55;5;21;"Me ha gustado bastante la entrevista al Papa. Enhorabuena equipo de @salvadostv por esta histórica entrevista. #SalvadosPapa";;@salvadostv;#SalvadosPapa;"1112458445440065536";https://twitter.com/casasola89/status/1112458445440065536
YoAlmibarLecter;2019-03-31 22:55;0;1;"¿Pero os pensabais que era The Young Pope? #SalvadosPapa";;;#SalvadosPapa;"1112458438628519936";https://twitter.com/YoAlmibarLecter/status/1112458438628519936
Adan_Cadiz;2019-03-31 22:55;0;2;"@laSextaTV vaya publicidad metéis en las entrevistas de #SalvadosPapa y en #elobjetivo no se puede visionar nada.";;@laSextaTV;#SalvadosPapa #elobjetivo;"1112458432639090690";https://twitter.com/Adan_Cadiz/status/1112458432639090690
TomasGalvanM;2019-03-31 22:55;0;2;"Por cierto. Entre los testimonios, el de Diego, hombre trans que mantuvo un encuentro con el papa Francisco después de escribirle una carta. #SalvadosPapa #DiaDeLaVisibilidadTrans . Valiosas palabras.";;;#SalvadosPapa #DiaDeLaVisibilidadTrans;"1112458429908553729";https://twitter.com/TomasGalvanM/status/1112458429908553729
AlvaroPittCairn;2019-03-31 22:55;0;1;"Me gustan sus reflexiones, pero no algunas de sus afirmaciones. Echo de menos más acciones concretas que acompañen su discurso. Aun así, el papa Francisco me parece un personaje irrepetible. #SalvadosPapa";;;#SalvadosPapa;"1112458423180906497";https://twitter.com/AlvaroPittCairn/status/1112458423180906497
pilu_s;2019-03-31 22:55;1;4;"“El mundo se olvidó de llorar” #SalvadosPapa";;;#SalvadosPapa;"1112458417933873152";https://twitter.com/pilu_s/status/1112458417933873152
mariajarenyo;2019-03-31 22:55;0;0;"#SalvadosPapa que majo, me ha molado";;;#SalvadosPapa;"1112458415446675457";https://twitter.com/mariajarenyo/status/1112458415446675457
